Age,Annual_salary,Currency,Country,professional_work_experience_overall,professional_work_experience_field,education_level,Gender,grouped_industry,salary_in_usd
25-34,35000.0,USD,US,1 year or less,1 year or less,College degree,Woman,Administration,35000.0
25-34,76485.0,USD,US,2 - 4 years,2 - 4 years,PhD,Woman,Administration,76485.0
25-34,73308.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,Healthcare,73308.0
25-34,40000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Woman,Healthcare,40000.0
25-34,90000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Law,90000.0
25-34,80964.0,USD,US,5-7 years,5-7 years,Master's degree,Woman,Media,80964.0
25-34,54080.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,HR,54080.0
25-34,37440.0,CAD,Canada,8 - 10 years,5-7 years,Some college,Woman,Retail,26956.8
35-44,67000.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Woman,Accounting,67000.0
35-44,62400.0,USD,US,11 - 20 years,2 - 4 years,Master's degree,Woman,Computing,62400.0
35-44,55000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,55000.0
35-44,52332.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,52332.0
35-44,82000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,82000.0
35-44,65000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Other,65000.0
35-44,146438.0,CAD,Canada,11 - 20 years,11 - 20 years,College degree,Woman,Administration,105435.36
35-44,64000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Administration,64000.0
35-44,60000.0,USD,US,21 - 30 years,21 - 30 years,High School,Woman,Insurance,60000.0
35-44,134500.0,USD,US,11 - 20 years,8 - 10 years,PhD,Woman,Marketing,134500.0
35-44,75000.0,USD,US,8 - 10 years,5-7 years,College degree,Man,Marketing,75000.0
35-44,75000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Nonprofits,75000.0
35-44,70000.0,USD,US,11 - 20 years,2 - 4 years,Master's degree,Woman,Nonprofits,70000.0
35-44,101000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Nonprofits,101000.0
35-44,72500.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Nonprofits,72500.0
35-44,63000.0,USD,US,11 - 20 years,5-7 years,Master's degree,Woman,Nonprofits,63000.0
35-44,80000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Woman,HR,80000.0
35-44,44000.0,USD,US,11 - 20 years,5-7 years,Some college,Non-binary,Sales,44000.0
35-44,56000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Communication,56000.0
35-44,120000.0,USD,US,5-7 years,11 - 20 years,Master's degree,Woman,Communication,120000.0
35-44,82000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Communication,82000.0
45-54,90000.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Man,Computing,90000.0
45-54,49000.0,GBP,UK,11 - 20 years,8 - 10 years,College degree,Woman,Computing,63210.0
45-54,85000.0,USD,US,11 - 20 years,11 - 20 years,PhD,Woman,Education,85000.0
45-54,115000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Administration,115000.0
45-54,77000.0,USD,US,21 - 30 years,11 - 20 years,Some college,Man,Healthcare,77000.0
45-54,37107.0,USD,US,31 - 40 years,8 - 10 years,Some college,Woman,Library,37107.0
45-54,60000.0,USD,US,11 - 20 years,2 - 4 years,High School,Woman,Marketing,60000.0
55-64,131000.0,USD,US,31 - 40 years,5-7 years,"Professional degree (MD, JD, etc.)",,Law,131000.0
18-24,39000.0,GBP,UK,1 year or less,1 year or less,College degree,Man,Computing,50310.0
18-24,54000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Administration,54000.0
25-34,52000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Accounting,52000.0
25-34,150000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Computing,150000.0
25-34,46500.0,CAD,Canada,11 - 20 years,5-7 years,College degree,Woman,Education,33480.0
25-34,61200.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Administration,61200.0
25-34,52500.0,GBP,UK,2 - 4 years,2 - 4 years,Master's degree,Woman,Administration,67725.0
25-34,78000.0,USD,US,5-7 years,2 - 4 years,Master's degree,Man,Administration,78000.0
25-34,37502.0,EUR,Ireland,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Healthcare,40877.18
25-34,88000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Healthcare,88000.0
25-34,101500.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Insurance,101500.0
25-34,45000.0,GBP,UK,8 - 10 years,2 - 4 years,Master's degree,Woman,Law,58050.0
25-34,72000.0,USD,US,2 - 4 years,2 - 4 years,PhD,Woman,Nonprofits,72000.0
25-34,47500.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,HR,47500.0
25-34,55000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Sales,55000.0
35-44,110000.0,USD,US,5-7 years,5-7 years,College degree,Man,Computing,110000.0
35-44,180000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Computing,180000.0
35-44,130700.0,USD,US,11 - 20 years,11 - 20 years,PhD,Woman,Education,130700.0
35-44,80000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Woman,Education,80000.0
35-44,41600.0,USD,US,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,41600.0
35-44,70135.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,70135.0
35-44,141000.0,USD,US,8 - 10 years,8 - 10 years,PhD,Woman,Engineering,141000.0
35-44,15000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Other or prefer not to answer,Other,15000.0
35-44,61442.0,USD,US,11 - 20 years,2 - 4 years,College degree,Woman,Contracting,61442.0
35-44,65000.0,CAD,Canada,21 - 30 years,5-7 years,College degree,Man,Marketing,46800.0
35-44,90000.0,USD,US,5-7 years,5-7 years,PhD,Woman,Media,90000.0
35-44,135000.0,AUD/NZD,Australia,5-7 years,5-7 years,College degree,Woman,Mining,89100.0
35-44,64000.0,USD,US,5-7 years,11 - 20 years,College degree,,Nonprofits,64000.0
35-44,80000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Retail,80000.0
45-54,118000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Man,Accounting,118000.0
45-54,108000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Art,108000.0
45-54,50000.0,USD,US,21 - 30 years,2 - 4 years,College degree,Woman,Computing,50000.0
45-54,58300.0,USD,US,21 - 30 years,8 - 10 years,College degree,Woman,Administration,58300.0
45-54,57000.0,USD,US,21 - 30 years,5-7 years,High School,Woman,Events,57000.0
55-64,63000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Man,Law,63000.0
25-34,40400.0,USD,US,5-7 years,1 year or less,College degree,Woman,Computing,40400.0
25-34,91200.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Other,91200.0
25-34,51500.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Administration,51500.0
25-34,101000.0,USD,US,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,101000.0
35-44,165000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Man,Computing,165000.0
35-44,54329.0,USD,US,11 - 20 years,5-7 years,College degree,Man,Education,54329.0
35-44,76000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,76000.0
35-44,90000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Engineering,90000.0
35-44,103000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Healthcare,103000.0
35-44,75000.0,USD,US,8 - 10 years,8 - 10 years,Some college,Woman,Law,75000.0
35-44,31200.0,USD,US,5-7 years,2 - 4 years,Some college,Woman,Library,31200.0
35-44,69000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Library,69000.0
35-44,105000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Property,105000.0
35-44,68000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Woman,Property,68000.0
45-54,200000.0,USD,US,21 - 30 years,21 - 30 years,Some college,Other or prefer not to answer,Computing,200000.0
45-54,59000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Education,59000.0
45-54,46000.0,USD,US,21 - 30 years,21 - 30 years,Some college,Woman,Property,46000.0
45-54,56000.0,CAD,Canada,11 - 20 years,11 - 20 years,Some college,Woman,Property,40320.0
55-64,125000.0,USD,US,31 - 40 years,31 - 40 years,Master's degree,Man,Computing,125000.0
55-64,75000.0,CAD,Canada,31 - 40 years,31 - 40 years,College degree,Other or prefer not to answer,Computing,54000.0
55-64,158160.0,USD,US,41 years or more,31 - 40 years,College degree,Woman,Insurance,158160.0
55-64,75420.0,USD,US,31 - 40 years,31 - 40 years,College degree,Woman,Law,75420.0
55-64,50003.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Sales,50003.0
under 18,17000.0,USD,US,2 - 4 years,2 - 4 years,Some college,Non-binary,Healthcare,17000.0
18-24,97000.0,USD,US,1 year or less,1 year or less,College degree,Woman,Computing,97000.0
25-34,38875.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Accounting,38875.0
25-34,27030.0,GBP,UK,2 - 4 years,2 - 4 years,College degree,Woman,Art,34868.700000000004
25-34,115000.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Computing,115000.0
25-34,56160.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Computing,56160.0
25-34,69500.0,USD,,,5-7 years,,,Education,69500.0
25-34,75000.0,CAD,Canada,8 - 10 years,5-7 years,Master's degree,Woman,Education,54000.0
25-34,42000.0,GBP,UK,5-7 years,2 - 4 years,College degree,Non-binary,Marketing,54180.0
25-34,45000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Woman,Media,45000.0
25-34,41000.0,USD,US,5-7 years,2 - 4 years,Some college,Woman,Nonprofits,41000.0
25-34,80000.0,USD,US,2 - 4 years,1 year or less,College degree,Woman,Sales,80000.0
25-34,24000.0,EUR,Spain,2 - 4 years,2 - 4 years,Master's degree,Man,Other,26160.000000000004
35-44,41200.0,USD,US,11 - 20 years,2 - 4 years,College degree,Woman,Education,41200.0
35-44,90119.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,90119.0
35-44,35000.0,GBP,UK,11 - 20 years,5-7 years,Master's degree,Woman,Education,45150.0
35-44,50000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,50000.0
35-44,43939.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Education,43939.0
35-44,118000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Engineering,118000.0
35-44,76000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Man,Administration,76000.0
35-44,175000.0,USD,US,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Healthcare,175000.0
35-44,85000.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,85000.0
35-44,111000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Nonprofits,111000.0
35-44,55000.0,USD,US,21 - 30 years,5-7 years,Some college,Woman,Sales,55000.0
45-54,127000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Man,Accounting,127000.0
45-54,80000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Woman,Other,80000.0
45-54,140000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Insurance,140000.0
55-64,52000.0,USD,US,31 - 40 years,21 - 30 years,Master's degree,Woman,Healthcare,52000.0
18-24,78000.0,CAD,Canada,2 - 4 years,1 year or less,College degree,Woman,Engineering,56160.0
18-24,51000.0,USD,US,1 year or less,1 year or less,College degree,Woman,Law,51000.0
25-34,40000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Research,40000.0
25-34,122000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Business,122000.0
25-34,132800.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Computing,132800.0
25-34,95000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Woman,Education,95000.0
25-34,61000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Engineering,61000.0
25-34,153000.0,USD,US,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Other,153000.0
25-34,53000.0,GBP,UK,5-7 years,5-7 years,PhD,Woman,Administration,68370.0
25-34,39000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Woman,Administration,39000.0
25-34,60171.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Software,60171.0
25-34,57000.0,USD,US,1 year or less,1 year or less,College degree,Woman,Healthcare,57000.0
25-34,149000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Healthcare,149000.0
25-34,68000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Marketing,68000.0
25-34,76750.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Nonprofits,76750.0
25-34,100000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Nonprofits,100000.0
25-34,52000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Nonprofits,52000.0
35-44,42000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Woman,Other,42000.0
35-44,62000.0,USD,US,11 - 20 years,5-7 years,Some college,Other or prefer not to answer,Computing,62000.0
35-44,55000.0,USD,US,5-7 years,2 - 4 years,PhD,Woman,Education,55000.0
35-44,126000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Engineering,126000.0
35-44,62000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Administration,62000.0
35-44,42000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Healthcare,42000.0
35-44,171000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Marketing,171000.0
35-44,94400.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Nonprofits,94400.0
35-44,62000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Property,62000.0
45-54,80000.0,USD,US,11 - 20 years,11 - 20 years,Some college,Woman,Marketing,80000.0
45-54,53500.0,USD,US,21 - 30 years,11 - 20 years,College degree,Woman,Nonprofits,53500.0
45-54,170000.0,USD,US,21 - 30 years,31 - 40 years,PhD,Woman,Nonprofits,170000.0
45-54,70000.0,USD,US,21 - 30 years,8 - 10 years,College degree,Woman,Nonprofits,70000.0
45-54,48000.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Woman,Social Work,48000.0
55-64,62172.0,USD,US,31 - 40 years,2 - 4 years,Some college,Woman,Education,62172.0
55-64,67900.0,USD,US,31 - 40 years,21 - 30 years,Some college,Woman,Education,67900.0
25-34,75000.0,USD,US,5-7 years,2 - 4 years,College degree,Man,Accounting,75000.0
25-34,98000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Woman,Business,98000.0
25-34,90000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Woman,Engineering,90000.0
25-34,65000.0,CAD,Canada,5-7 years,5-7 years,College degree,Woman,Administration,46800.0
25-34,75000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Healthcare,75000.0
25-34,64000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Marketing,64000.0
25-34,51000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Marketing,51000.0
25-34,122000.0,USD,US,5-7 years,5-7 years,PhD,Woman,Nonprofits,122000.0
25-34,77800.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Property,77800.0
25-34,62000.0,USD,US,11 - 20 years,8 - 10 years,College degree,Non-binary,Publishing,62000.0
35-44,57400.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Accounting,57400.0
35-44,102000.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,Business,102000.0
35-44,200000.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Computing,200000.0
35-44,120000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Engineering,120000.0
35-44,155000.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,Engineering,155000.0
35-44,100000.0,USD,US,5-7 years,5-7 years,College degree,Non-binary,Engineering,100000.0
35-44,66000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Education,66000.0
35-44,96000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Administration,96000.0
35-44,65000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Healthcare,65000.0
35-44,42000.0,CAD,Canada,11 - 20 years,1 year or less,College degree,Woman,Insurance,30240.0
35-44,115000.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,Media,115000.0
35-44,51000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Nonprofits,51000.0
35-44,95000.0,USD,US,11 - 20 years,5-7 years,Master's degree,Woman,Property,95000.0
35-44,180000.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,HR,180000.0
45-54,130000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Woman,Computing,130000.0
25-34,62000.0,USD,US,2 - 4 years,2 - 4 years,PhD,Woman,Education,62000.0
25-34,98000.0,CAD,Canada,11 - 20 years,11 - 20 years,College degree,Woman,Administration,70560.0
25-34,32000.0,USD,US,5-7 years,5-7 years,Master's degree,Man,Administration,32000.0
25-34,83000.0,USD,US,8 - 10 years,5-7 years,PhD,Woman,Healthcare,83000.0
25-34,126000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Insurance,126000.0
25-34,31000.0,USD,US,8 - 10 years,8 - 10 years,Some college,Woman,Law,31000.0
25-34,48000.0,CAD,Canada,8 - 10 years,8 - 10 years,College degree,Woman,Transportation,34560.0
35-44,2800000.0,Other,India,11 - 20 years,5-7 years,College degree,Woman,Computing,2800000.0
35-44,145000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Computing,145000.0
35-44,80000.0,USD,US,11 - 20 years,11 - 20 years,PhD,Woman,Education,80000.0
35-44,44000.0,GBP,UK,8 - 10 years,8 - 10 years,PhD,Woman,Education,56760.0
35-44,98000.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,Education,98000.0
35-44,131000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Engineering,131000.0
35-44,110000.0,CAD,Canada,11 - 20 years,8 - 10 years,Master's degree,Woman,Engineering,79200.0
35-44,46895.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Administration,46895.0
35-44,84000.0,USD,US,11 - 20 years,11 - 20 years,Some college,Woman,Insurance,84000.0
35-44,99221.0,USD,US,21 - 30 years,21 - 30 years,PhD,Woman,Nonprofits,99221.0
45-54,80000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Man,Healthcare,80000.0
45-54,90000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Media,90000.0
55-64,140000.0,USD,US,31 - 40 years,21 - 30 years,Master's degree,Woman,Pharmaceuticals,140000.0
18-24,156000.0,AUD/NZD,Australia,2 - 4 years,2 - 4 years,High School,Woman,Education,102960.0
25-34,75000.0,USD,US,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Computing,75000.0
25-34,,Other,,,,,,Computing,
25-34,148000.0,USD,US,5-7 years,5-7 years,Master's degree,Man,Computing,148000.0
25-34,55000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Woman,Education,55000.0
25-34,52000.0,USD,US,5-7 years,5-7 years,PhD,Non-binary,Education,52000.0
25-34,50000.0,USD,US,5-7 years,5-7 years,Master's degree,Woman,Education,50000.0
25-34,114000.0,USD,US,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,114000.0
25-34,37440.0,USD,US,1 year or less,1 year or less,Master's degree,Woman,Administration,37440.0
25-34,54000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Healthcare,54000.0
25-34,127500.0,USD,US,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Insurance,127500.0
25-34,39000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Nonprofits,39000.0
25-34,160000.0,CAD,Canada,8 - 10 years,5-7 years,College degree,Woman,Software,115200.0
25-34,33000.0,USD,US,5-7 years,2 - 4 years,Some college,Other or prefer not to answer,Transportation,33000.0
35-44,82000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Accounting,82000.0
35-44,266250.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Accounting,266250.0
35-44,131000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Woman,Beauty,131000.0
35-44,156000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Business,156000.0
35-44,63000.0,USD,US,11 - 20 years,41 years or more,Master's degree,Woman,Education,63000.0
35-44,71514.0,CAD,Canada,5-7 years,5-7 years,Master's degree,Woman,Education,51490.079999999994
35-44,49089.0,USD,Sweden,11 - 20 years,11 - 20 years,Master's degree,Woman,Administration,49089.0
35-44,112016.0,USD,US,11 - 20 years,5-7 years,Master's degree,Man,Administration,112016.0
35-44,95000.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Law,95000.0
35-44,57750.0,USD,US,11 - 20 years,11 - 20 years,College degree,Man,Marketing,57750.0
35-44,83000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Media,83000.0
35-44,160000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Nonprofits,160000.0
35-44,58657.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Nonprofits,58657.0
45-54,100000.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Woman,Engineering,100000.0
45-54,70000.0,USD,US,21 - 30 years,8 - 10 years,Master's degree,Woman,Administration,70000.0
45-54,76000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Woman,Administration,76000.0
45-54,124800.0,USD,US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Administration,124800.0
45-54,82000.0,USD,US,21 - 30 years,11 - 20 years,College degree,Woman,Nonprofits,82000.0
55-64,86000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Insurance,86000.0
25-34,125000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Art,125000.0
25-34,47761.0,USD,US,5-7 years,5-7 years,College degree,Woman,Computing,47761.0
25-34,70000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Computing,70000.0
25-34,250000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Computing,250000.0
25-34,56000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,56000.0
25-34,73000.0,USD,US,8 - 10 years,2 - 4 years,College degree,Woman,Education,73000.0
25-34,41000.0,GBP,UK,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,52890.0
25-34,105000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Other,105000.0
25-34,70000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Environmental,70000.0
25-34,77000.0,CAD,Canada,11 - 20 years,5-7 years,College degree,Woman,Marketing,55440.0
25-34,100000.0,USD,US,8 - 10 years,5-7 years,College degree,Woman,Nonprofits,100000.0
25-34,38000.0,GBP,UK,2 - 4 years,2 - 4 years,Master's degree,Woman,Nonprofits,49020.0
35-44,40000.0,USD,US,21 - 30 years,11 - 20 years,High School,Woman,Accounting,40000.0
35-44,63.0,EUR,Germany,8 - 10 years,8 - 10 years,Some college,Man,Computing,68.67
35-44,100000.0,CAD,Canada,11 - 20 years,11 - 20 years,College degree,Woman,Computing,72000.0
35-44,91000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Woman,Education,91000.0
35-44,92000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Administration,92000.0
35-44,43000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Healthcare,43000.0
35-44,66900.0,USD,US,21 - 30 years,8 - 10 years,College degree,Woman,Healthcare,66900.0
35-44,36000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Woman,Insurance,36000.0
35-44,93000.0,USD,US,11 - 20 years,2 - 4 years,College degree,Woman,Retail,93000.0
45-54,30000.0,USD,US,21 - 30 years,11 - 20 years,Some college,Woman,Education,30000.0
25-34,82000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Agriculture,82000.0
25-34,200000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Man,Energy,200000.0
25-34,115000.0,USD,US,5-7 years,2 - 4 years,PhD,Woman,Computing,115000.0
25-34,42000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Woman,Education,42000.0
25-34,75000.0,CAD,Canada,8 - 10 years,5-7 years,College degree,Woman,Administration,54000.0
25-34,51330.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Administration,51330.0
25-34,105000.0,USD,US,8 - 10 years,2 - 4 years,Master's degree,Woman,Healthcare,105000.0
25-34,60000.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Tourism,60000.0
25-34,70010.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Nonprofits,70010.0
35-44,70000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Agriculture,70000.0
35-44,156000.0,USD,US,11 - 20 years,11 - 20 years,PhD,Woman,Biotech,156000.0
35-44,104600.0,USD,US,11 - 20 years,5-7 years,College degree,Woman,Computing,104600.0
35-44,59000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,59000.0
35-44,65000.0,USD,US,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,65000.0
35-44,40000.0,USD,US,11 - 20 years,11 - 20 years,Some college,Woman,Other,40000.0
35-44,99000.0,USD,US,1 year or less,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Healthcare,99000.0
35-44,74000.0,USD,US,11 - 20 years,11 - 20 years,College degree,Woman,Media,74000.0
35-44,63000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Social Work,63000.0
45-54,50000.0,USD,US,21 - 30 years,2 - 4 years,Some college,Woman,Education,50000.0
45-54,110000.0,USD,US,21 - 30 years,11 - 20 years,Master's degree,Man,Education,110000.0
45-54,75000.0,USD,US,21 - 30 years,11 - 20 years,PhD,Man,Energy,75000.0
45-54,61589.0,USD,US,21 - 30 years,21 - 30 years,Master's degree,Woman,Administration,61589.0
45-54,69000.0,USD,US,21 - 30 years,21 - 30 years,College degree,Woman,Media,69000.0
55-64,49000.0,USD,US,31 - 40 years,31 - 40 years,Master's degree,Woman,Education,49000.0
18-24,48000.0,CAD,Canada,2 - 4 years,1 year or less,College degree,Woman,Education,34560.0
25-34,90000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Accounting,90000.0
25-34,53000.0,USD,US,5-7 years,5-7 years,College degree,Woman,Architect,53000.0
25-34,71500.0,USD,US,2 - 4 years,2 - 4 years,College degree,Woman,Computing,71500.0
25-34,54000.0,USD,US,5-7 years,2 - 4 years,College degree,Woman,Computing,54000.0
25-34,145000.0,USD,US,8 - 10 years,8 - 10 years,College degree,Woman,Computing,145000.0
25-34,42000.0,USD,US,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,42000.0
25-34,30000.0,USD,US,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,30000.0
25-34,44000.0,USD,US,2 - 4 years,1 year or less,Master's degree,Woman,Education,44000.0
25-34,36000.0,USD,US,8 - 10 years,5-7 years,Master's degree,Man,Education,36000.0
